0,MATCH (N0)=[ANY SHORTEST ?p :E*]=>(N3000) RETURN ?p LIMIT 100000
218,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
219,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
220,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
221,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
222,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
223,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
224,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
225,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
226,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
227,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
228,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
229,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
230,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
231,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
232,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
233,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
234,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
235,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
236,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
237,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
238,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
239,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
240,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,12}]=>(?n) RETURN ?p LIMIT 100000
241,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
242,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
243,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
244,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
245,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
246,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
247,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
248,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
249,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
250,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
251,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
252,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
253,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
254,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
255,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
256,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
257,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
258,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
259,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
260,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
261,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
262,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
263,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
264,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
265,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
266,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
267,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
268,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
269,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
270,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
271,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
272,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
273,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
274,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
275,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
276,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
277,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
278,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
279,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
280,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,14}]=>(?n) RETURN ?p LIMIT 100000
281,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
282,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
283,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
284,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
285,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
286,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
287,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
288,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
289,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
290,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
291,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
292,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
293,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
294,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
295,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
296,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
297,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
298,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
299,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
300,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
301,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
302,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
303,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
304,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
305,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
306,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
307,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
308,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
309,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
310,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
311,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
312,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
313,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
314,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
315,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
316,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
317,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
318,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
319,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
320,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,16}]=>(?n) RETURN ?p LIMIT 100000
321,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
322,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
323,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
324,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
325,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
326,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
327,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
328,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
329,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
330,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
331,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
332,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
333,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
334,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
335,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
336,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
337,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
338,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
339,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
340,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
341,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
342,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
343,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
344,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
345,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
346,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
347,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
348,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
349,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
350,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
351,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
352,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
353,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
354,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
355,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
356,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
357,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
358,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
359,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
360,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,18}]=>(?n) RETURN ?p LIMIT 100000
361,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
362,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
363,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
364,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
365,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
366,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
367,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
368,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
369,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
370,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
371,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
372,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
373,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
374,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
375,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
376,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
377,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
378,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
379,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
380,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
381,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
382,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
383,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
384,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
385,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
386,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
387,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
388,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
389,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
390,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
391,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
392,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
393,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
394,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
395,MATCH (N0)=[SHORTEST 35 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
396,MATCH (N0)=[SHORTEST 36 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
397,MATCH (N0)=[SHORTEST 37 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
398,MATCH (N0)=[SHORTEST 38 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
399,MATCH (N0)=[SHORTEST 39 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
400,MATCH (N0)=[SHORTEST 40 GROUPS TRAILS ?p :E{1,20}]=>(?n) RETURN ?p LIMIT 100000
401,MATCH (N0)=[SHORTEST 1 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
402,MATCH (N0)=[SHORTEST 2 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
403,MATCH (N0)=[SHORTEST 3 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
404,MATCH (N0)=[SHORTEST 4 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
405,MATCH (N0)=[SHORTEST 5 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
406,MATCH (N0)=[SHORTEST 6 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
407,MATCH (N0)=[SHORTEST 7 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
408,MATCH (N0)=[SHORTEST 8 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
409,MATCH (N0)=[SHORTEST 9 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
410,MATCH (N0)=[SHORTEST 10 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
411,MATCH (N0)=[SHORTEST 11 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
412,MATCH (N0)=[SHORTEST 12 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
413,MATCH (N0)=[SHORTEST 13 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
414,MATCH (N0)=[SHORTEST 14 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
415,MATCH (N0)=[SHORTEST 15 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
416,MATCH (N0)=[SHORTEST 16 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
417,MATCH (N0)=[SHORTEST 17 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
418,MATCH (N0)=[SHORTEST 18 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
419,MATCH (N0)=[SHORTEST 19 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
420,MATCH (N0)=[SHORTEST 20 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
421,MATCH (N0)=[SHORTEST 21 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
422,MATCH (N0)=[SHORTEST 22 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
423,MATCH (N0)=[SHORTEST 23 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
424,MATCH (N0)=[SHORTEST 24 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
425,MATCH (N0)=[SHORTEST 25 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
426,MATCH (N0)=[SHORTEST 26 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
427,MATCH (N0)=[SHORTEST 27 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
428,MATCH (N0)=[SHORTEST 28 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
429,MATCH (N0)=[SHORTEST 29 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
430,MATCH (N0)=[SHORTEST 30 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
431,MATCH (N0)=[SHORTEST 31 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
432,MATCH (N0)=[SHORTEST 32 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
433,MATCH (N0)=[SHORTEST 33 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
434,MATCH (N0)=[SHORTEST 34 GROUPS TRAILS ?p :E{1,22}]=>(?n) RETURN ?p LIMIT 100000
